文件名,坐标,船数量
9882,0.3046875 0.865234375 0.1171875 0.12109375;0.513671875 0.240234375 0.08984375 0.09765625,2
9883,0.798828125 0.369140625 0.10546875 0.12890625,1
9886,0.49609375 0.5234375 0.1640625 0.1640625,1
9888,0.408203125 0.626953125 0.11328125 0.12109375,1
9891,0.708984375 0.490234375 0.07421875 0.09765625,1
9893,0.908203125 0.126953125 0.10546875 0.11328125,1
9896,0.15234375 0.4140625 0.09375 0.09375;0.37890625 0.66015625 0.0859375 0.140625,2
9897,0.4765625 0.84375 0.0703125 0.078125;0.947265625 0.689453125 0.07421875 0.10546875,2
9900,0.18359375 0.75 0.078125 0.109375;0.380859375 0.15625 0.08203125 0.1484375;0.80078125 0.73046875 0.0625 0.1171875,3
9902,0.142578125 0.724609375 0.06640625 0.10546875;0.10546875 0.91796875 0.0703125 0.1328125,2
9905,0.140625 0.8046875 0.0703125 0.1171875;0.705078125 0.90234375 0.07421875 0.0859375;0.681640625 0.24609375 0.06640625 0.125,3
9907,0.30078125 0.228515625 0.0546875 0.11328125,1
9909,0.068359375 0.55078125 0.05859375 0.1484375;0.099609375 0.40234375 0.05859375 0.125;0.142578125 0.228515625 0.07421875 0.11328125,3
9911,0.14453125 0.30078125 0.0859375 0.1171875;0.541015625 0.712890625 0.08984375 0.08984375;0.640625 0.296875 0.078125 0.09375,3
9912,0.138671875 0.294921875 0.07421875 0.10546875;0.041015625 0.71875 0.08203125 0.09375;0.5234375 0.75390625 0.078125 0.09375;0.701171875 0.3984375 0.07421875 0.078125;0.9609375 0.875 0.0703125 0.0703125,5
9913,0.03125 0.7578125 0.0625 0.1015625;0.201171875 0.40234375 0.07421875 0.0859375;0.4765625 0.875 0.0859375 0.078125,3
9915,0.19140625 0.68359375 0.09375 0.09375,1
9917,0.06640625 0.07421875 0.0546875 0.1015625,1
9918,0.53515625 0.21484375 0.078125 0.09375,1
9920,0.03125 0.255859375 0.0625 0.09765625;0.251953125 0.765625 0.08203125 0.0859375;0.81640625 0.89453125 0.0859375 0.0859375;0.470703125 0.37109375 0.08203125 0.0859375,4
9921,0.3125 0.89453125 0.0703125 0.078125;0.6875 0.18359375 0.0859375 0.0859375,2
9922,0.185546875 0.181640625 0.09765625 0.08984375,1
9924,0.75390625 0.263671875 0.0859375 0.08203125,1
9925,0.25390625 0.263671875 0.0859375 0.08203125;0.814453125 0.39453125 0.08203125 0.0859375,2
9926,0.314453125 0.39453125 0.07421875 0.078125,1
9928,0.283203125 0.607421875 0.05859375 0.09765625,1
9932,0.056640625 0.740234375 0.08203125 0.12890625,1
9933,0.552734375 0.244140625 0.08203125 0.12109375,1
9939,0.689453125 0.1171875 0.29296875 0.0703125,1
9940,0.1953125 0.1171875 0.296875 0.078125,1
9941,0.484375 0.51953125 0.1015625 0.1015625;0.435546875 0.232421875 0.07421875 0.08203125;0.72265625 0.1796875 0.0546875 0.09375;0.88671875 0.208984375 0.0703125 0.08203125;0.6484375 0.408203125 0.0703125 0.08203125;0.796875 0.421875 0.0703125 0.09375;0.876953125 0.732421875 0.10546875 0.09765625,7
9943,0.2578125 0.828125 0.0546875 0.125;0.060546875 0.7109375 0.04296875 0.078125;0.599609375 0.46484375 0.06640625 0.1171875;0.8203125 0.30859375 0.0546875 0.1015625;0.91796875 0.65234375 0.0625 0.125;0.65625 0.96875 0.078125 0.0546875,6
9944,0.09765625 0.466796875 0.0625 0.11328125;0.318359375 0.3125 0.05859375 0.09375;0.765625 0.28515625 0.0625 0.1171875;0.6328125 0.716796875 0.0703125 0.11328125;0.412109375 0.65234375 0.07421875 0.1328125;0.54296875 0.08203125 0.0546875 0.0859375;0.158203125 0.96484375 0.06640625 0.0625;0.51953125 0.947265625 0.0703125 0.09765625,8
9945,0.029296875 0.947265625 0.05859375 0.08984375;0.13671875 0.716796875 0.0703125 0.11328125;0.267578125 0.28125 0.05859375 0.125;0.044921875 0.08203125 0.05078125 0.0859375,4
9946,0.875 0.236328125 0.1015625 0.10546875;0.49609375 0.03515625 0.109375 0.0703125,2
9947,0.376953125 0.23046875 0.11328125 0.1015625,1
9948,0.521484375 0.388671875 0.14453125 0.09765625,1
9952,0.45703125 0.576171875 0.1484375 0.05078125,1
9953,0.716796875 0.412109375 0.14453125 0.06640625,1
9955,0.7578125 0.328125 0.0625 0.125;0.828125 0.5703125 0.0703125 0.1171875,2
9962,0.359375 0.1796875 0.046875 0.0703125,1
9963,0.720703125 0.490234375 0.07421875 0.09765625,1
9964,0.216796875 0.490234375 0.07421875 0.09765625,1
9969,0.03125 0.833984375 0.0625 0.13671875,1
9971,0.044921875 0.349609375 0.08203125 0.08203125;0.32421875 0.806640625 0.109375 0.05859375;0.537109375 0.333984375 0.08203125 0.13671875;0.435546875 0.513671875 0.09765625 0.11328125;0.4921875 0.62109375 0.109375 0.109375,5
9974,0.205078125 0.900390625 0.06640625 0.10546875;0.5703125 0.787109375 0.0703125 0.08203125;0.83984375 0.96484375 0.0859375 0.0625,3
9975,0.072265625 0.791015625 0.06640625 0.08203125;0.53125 0.75 0.09375 0.046875;0.751953125 0.80078125 0.08203125 0.0390625;0.556640625 0.978515625 0.08984375 0.03515625;0.341796875 0.96484375 0.08984375 0.0625,5
9976,0.791015625 0.568359375 0.09765625 0.05078125;0.82421875 0.30859375 0.109375 0.0546875;0.939453125 0.958984375 0.06640625 0.07421875,3
9977,0.287109375 0.56640625 0.09765625 0.0546875;0.3203125 0.30859375 0.1171875 0.0546875;0.544921875 0.548828125 0.08203125 0.08203125;0.4375 0.958984375 0.0625 0.07421875,4
9980,0.7109375 0.7421875 0.125 0.046875;0.37890625 0.685546875 0.0703125 0.08203125;0.189453125 0.693359375 0.05859375 0.07421875;0.20703125 0.400390625 0.0703125 0.10546875;0.443359375 0.53125 0.07421875 0.0703125;0.5703125 0.2890625 0.0703125 0.0859375;0.84765625 0.470703125 0.09375 0.07421875,7
9982,0.439453125 0.4609375 0.06640625 0.0703125;0.2890625 0.068359375 0.09375 0.05859375;0.54296875 0.05078125 0.0859375 0.078125;0.4375 0.728515625 0.0859375 0.07421875;0.724609375 0.6796875 0.05859375 0.09375;0.8828125 0.70703125 0.078125 0.0703125;0.646484375 0.91015625 0.06640625 0.0859375;0.796875 0.91796875 0.0703125 0.09375,8
9984,0.494140625 0.408203125 0.05859375 0.07421875;0.6875 0.19140625 0.0625 0.078125;0.880859375 0.1875 0.07421875 0.078125;0.935546875 0.03125 0.08203125 0.0625,4
9986,0.21484375 0.24609375 0.1171875 0.0390625;0.494140625 0.25 0.08203125 0.0390625;0.6015625 0.111328125 0.09375 0.03515625;0.787109375 0.140625 0.05859375 0.0546875;0.865234375 0.06640625 0.05859375 0.0390625;0.78515625 0.267578125 0.0625 0.02734375;0.51171875 0.4375 0.2578125 0.109375;0.953125 0.380859375 0.0703125 0.04296875,8
9987,0.5625 0.55859375 0.0546875 0.1328125,1
9988,0.056640625 0.5703125 0.05078125 0.140625;0.58203125 0.615234375 0.109375 0.12890625,2
9989,0.08203125 0.6171875 0.1171875 0.125,1
9992,0.23828125 0.25 0.109375 0.125,1
9994,0.087890625 0.427734375 0.09765625 0.10546875,1
9997,0.412109375 0.19921875 0.06640625 0.1015625,1
9998,0.65625 0.39453125 0.1171875 0.140625,1
10000,0.080078125 0.109375 0.09765625 0.125,1
10003,0.181640625 0.087890625 0.10546875 0.10546875,1
10004,0.87890625 0.55859375 0.125 0.1328125,1
10005,0.37109375 0.560546875 0.109375 0.14453125,1
10006,0.55078125 0.103515625 0.078125 0.13671875,1
10007,0.044921875 0.10546875 0.07421875 0.1328125,1
10009,0.873046875 0.060546875 0.10546875 0.11328125,1
10010,0.369140625 0.05859375 0.11328125 0.1171875,1
10011,0.212890625 0.263671875 0.08984375 0.15234375,1
10012,0.537109375 0.642578125 0.08984375 0.12109375,1
10013,0.037109375 0.646484375 0.07421875 0.13671875,1
10014,0.31640625 0.939453125 0.09375 0.09765625;0.533203125 0.138671875 0.07421875 0.12109375,2
10015,0.3125 0.431640625 0.078125 0.09765625,1
10016,0.681640625 0.681640625 0.07421875 0.08984375,1
10017,0.185546875 0.681640625 0.07421875 0.08984375,1
10019,0.181640625 0.1796875 0.07421875 0.09375,1
10020,0.541015625 0.8828125 0.10546875 0.1484375,1
10021,0.046875 0.8828125 0.09375 0.15625,1
10022,0.703125 0.783203125 0.109375 0.12109375,1
10025,0.69921875 0.283203125 0.1015625 0.11328125,1
10026,0.859375 0.716796875 0.15625 0.16015625,1
10027,0.361328125 0.71875 0.15234375 0.1875,1
10030,0.52734375 0.919921875 0.1171875 0.11328125,1
10034,0.3671875 0.216796875 0.140625 0.17578125,1
10035,0.646484375 0.35546875 0.14453125 0.234375,1
10036,0.14453125 0.353515625 0.1484375 0.23828125,1
10037,0.326171875 0.90625 0.07421875 0.1015625,1
10038,0.529296875 0.42578125 0.12109375 0.109375,1
10039,0.458984375 0.0390625 0.09765625 0.078125,1
10040,0.708984375 0.8203125 0.12890625 0.1875,1
10049,0.71875 0.2421875 0.0390625 0.140625;0.666015625 0.576171875 0.05859375 0.12890625;0.609375 0.87109375 0.046875 0.140625,3
10050,0.220703125 0.23828125 0.03515625 0.140625;0.169921875 0.5703125 0.06640625 0.125;0.111328125 0.87109375 0.05859375 0.1328125,3
10052,0.109375 0.37109375 0.0625 0.140625;0.169921875 0.0703125 0.05078125 0.125,2
10055,0.6953125 0.419921875 0.125 0.18359375,1
10057,0.123046875 0.19921875 0.17578125 0.25,1
10060,0.322265625 0.35546875 0.13671875 0.1015625,1
10061,0.732421875 0.1796875 0.33984375 0.359375,1
10067,0.142578125 0.380859375 0.27734375 0.36328125,1
10070,0.82421875 0.533203125 0.0859375 0.30078125,1
10072,0.830078125 0.396484375 0.26171875 0.49609375,1
10075,0.3125 0.09375 0.0625 0.1875,1
10079,0.177734375 0.369140625 0.09765625 0.25390625,1
10080,0.91796875 0.587890625 0.125 0.48046875,1
10081,0.421875 0.578125 0.109375 0.46875,1
10082,0.728515625 0.890625 0.05078125 0.1484375,1
10083,0.224609375 0.884765625 0.05859375 0.15234375,1
10085,0.228515625 0.3828125 0.05078125 0.15625,1
10086,0.50390625 0.779296875 0.2890625 0.16015625,1
10089,0.49609375 0.2734375 0.296875 0.15625,1
10090,0.072265625 0.25390625 0.14453125 0.1171875,1
10092,0.111328125 0.8203125 0.13671875 0.140625,1
10094,0.109375 0.322265625 0.1484375 0.13671875,1
10097,0.421875 0.90234375 0.1171875 0.1640625,1
10099,0.61328125 0.810546875 0.265625 0.23046875,1
10101,0.21875 0.859375 0.4296875 0.2734375,1
10105,0.34765625 0.634765625 0.2265625 0.34765625,1
10106,0.84375 0.15234375 0.2265625 0.3046875,1
10109,0.150390625 0.482421875 0.12109375 0.15234375,1
10110,0.861328125 0.931640625 0.26953125 0.11328125,1
10111,0.375 0.935546875 0.28125 0.12109375,1
10114,0.80078125 0.65234375 0.3515625 0.3984375,1
10117,0.201171875 0.07421875 0.33984375 0.1484375,1
10120,0.298828125 0.173828125 0.34765625 0.34765625,1
10122,0.458984375 0.587890625 0.12890625 0.20703125,1
10124,0.45703125 0.087890625 0.140625 0.17578125;0.939453125 0.837890625 0.11328125 0.12890625,2
10125,0.443359375 0.837890625 0.12109375 0.11328125,1
10129,0.271484375 0.515625 0.12890625 0.1953125,1
10130,0.611328125 0.306640625 0.24609375 0.22265625,1
10131,0.119140625 0.32421875 0.23828125 0.25,1
10132,0.939453125 0.33984375 0.11328125 0.125,1
10133,0.44921875 0.33984375 0.125 0.1171875,1
10135,0.90625 0.814453125 0.1796875 0.19140625,1
10136,0.4296875 0.80859375 0.2578125 0.2109375,1
10137,0.66796875 0.115234375 0.2109375 0.14453125,1
10138,0.16796875 0.111328125 0.203125 0.15234375,1
10139,0.900390625 0.3125 0.19140625 0.203125,1
10142,0.443359375 0.611328125 0.33984375 0.27734375,1
10143,0.58203125 0.873046875 0.265625 0.23828125,1
10146,0.25390625 0.4609375 0.09375 0.1015625,1
10147,0.587890625 0.37109375 0.23828125 0.25,1
10148,0.107421875 0.388671875 0.21484375 0.26171875,1
10150,0.82421875 0.626953125 0.1015625 0.27734375,1
10151,0.326171875 0.630859375 0.10546875 0.29296875,1
10152,0.560546875 0.181640625 0.22265625 0.19921875,1
10153,0.087890625 0.166015625 0.17578125 0.18359375,1
10154,0.3203125 0.134765625 0.09375 0.26953125,1
10156,0.1796875 0.76171875 0.1875 0.1328125,1
10157,0.7890625 0.638671875 0.1015625 0.35546875,1
10158,0.287109375 0.642578125 0.11328125 0.36328125,1
10159,0.7890625 0.158203125 0.125 0.31640625,1
10160,0.2890625 0.158203125 0.125 0.31640625,1
10161,0.693359375 0.900390625 0.14453125 0.19140625,1
10165,0.302734375 0.810546875 0.33203125 0.23828125,1
10166,0.80078125 0.3046875 0.3359375 0.2421875,1
10167,0.30859375 0.318359375 0.34375 0.24609375,1
10168,0.517578125 0.7421875 0.49609375 0.09375,1
10169,0.13671875 0.73828125 0.2734375 0.0625,1
10171,0.513671875 0.236328125 0.50390625 0.08984375,1
10175,0.19921875 0.625 0.1484375 0.1484375;0.3984375 0.384765625 0.1328125 0.16796875;0.544921875 0.2109375 0.13671875 0.15625;0.697265625 0.052734375 0.15234375 0.10546875,4
10176,0.0546875 0.21875 0.109375 0.1484375;0.208984375 0.05859375 0.17578125 0.1171875;0.14453125 0.521484375 0.046875 0.12109375,3
10177,0.5703125 0.9140625 0.1171875 0.140625,1
10178,0.0703125 0.904296875 0.1171875 0.15234375,1
10179,0.517578125 0.9375 0.15234375 0.1171875,1
10180,0.54296875 0.076171875 0.1171875 0.12109375,1
10181,0.05859375 0.078125 0.1171875 0.109375,1
10184,0.337890625 0.787109375 0.14453125 0.08203125,1
10185,0.111328125 0.23046875 0.05078125 0.140625;0.271484375 0.462890625 0.06640625 0.10546875,2
10187,0.083984375 0.40625 0.14453125 0.1328125;0.06640625 0.8671875 0.125 0.1328125,2
10188,0.51171875 0.455078125 0.171875 0.16015625,1
10189,0.62890625 0.111328125 0.1015625 0.06640625;0.673828125 0.67578125 0.14453125 0.1484375;0.5234375 0.865234375 0.140625 0.13671875;0.83984375 0.509765625 0.125 0.12109375,4
10193,0.521484375 0.732421875 0.14453125 0.07421875;0.81640625 0.58203125 0.1796875 0.1171875,2
10195,0.552734375 0.44921875 0.12890625 0.140625,1
10201,0.056640625 0.796875 0.11328125 0.2265625,1
10203,0.298828125 0.283203125 0.26953125 0.10546875;0.5859375 0.814453125 0.0859375 0.13671875;0.888671875 0.765625 0.08203125 0.1015625,3
10204,0.0625 0.296875 0.125 0.21875,1
10206,0.58203125 0.322265625 0.0859375 0.10546875;0.7421875 0.130859375 0.046875 0.12109375;0.890625 0.2734375 0.0703125 0.09375,3
10208,0.21484375 0.662109375 0.203125 0.12890625,1
10211,0.564453125 0.890625 0.18359375 0.140625,1
10212,0.60546875 0.26171875 0.0625 0.1640625;0.796875 0.525390625 0.0625 0.15234375;0.923828125 0.18359375 0.11328125 0.0625;0.935546875 0.529296875 0.06640625 0.16015625;0.92578125 0.912109375 0.0703125 0.13671875,5
10214,0.564453125 0.3828125 0.19921875 0.140625;0.875 0.537109375 0.2109375 0.12890625,2
10217,0.443359375 0.091796875 0.06640625 0.18359375;0.4296875 0.42578125 0.078125 0.1484375;0.703125 0.525390625 0.078125 0.13671875;0.294921875 0.052734375 0.05859375 0.10546875,4
10220,0.875 0.048828125 0.203125 0.09765625,1
10222,0.814453125 0.150390625 0.06640625 0.21484375,1
10223,0.3125 0.150390625 0.0703125 0.20703125,1
10224,0.755859375 0.6484375 0.12890625 0.1796875,1
10225,0.255859375 0.65625 0.12109375 0.1640625,1
10227,0.236328125 0.8671875 0.06640625 0.203125,1
10229,0.33984375 0.2890625 0.1484375 0.078125,1
10230,0.51953125 0.87890625 0.46875 0.234375,1
10232,0.0390625 0.53125 0.078125 0.046875,1
10233,0.857421875 0.955078125 0.12109375 0.08203125,1
10238,0.037109375 0.02734375 0.07421875 0.046875,1
10240,0.357421875 0.46875 0.12109375 0.1015625,1
10241,0.923828125 0.705078125 0.13671875 0.04296875,1
10242,0.443359375 0.705078125 0.16796875 0.05859375,1
10243,0.5625 0.599609375 0.140625 0.07421875;0.755859375 0.701171875 0.12109375 0.07421875,2
10244,0.259765625 0.701171875 0.12890625 0.08984375;0.068359375 0.6015625 0.13671875 0.0625,2
10246,0.44140625 0.20703125 0.15625 0.0703125;0.6328125 0.634765625 0.203125 0.09765625,2
10248,0.314453125 0.814453125 0.19140625 0.09765625,1
10249,0.466796875 0.5625 0.12890625 0.0859375,1
10251,0.0625 0.1015625 0.125 0.0703125;0.259765625 0.20703125 0.11328125 0.0703125,2
10252,0.642578125 0.140625 0.22265625 0.078125;0.822265625 0.677734375 0.12890625 0.11328125;0.611328125 0.9453125 0.11328125 0.0625,3
10253,0.810546875 0.30859375 0.19140625 0.09375;0.6640625 0.703125 0.1484375 0.0703125;0.31640625 0.689453125 0.125 0.10546875;0.115234375 0.943359375 0.12890625 0.06640625;0.142578125 0.1484375 0.22265625 0.0859375,5
10254,0.462890625 0.0625 0.12109375 0.078125,1
10255,0.61328125 0.4453125 0.125 0.0625;0.87890625 0.6484375 0.1328125 0.1171875;0.81640625 0.189453125 0.1171875 0.12890625,3
10258,0.888671875 0.150390625 0.12890625 0.12109375,1
10259,0.38671875 0.15234375 0.1484375 0.1015625;0.91796875 0.32421875 0.140625 0.09375,2
10261,0.80078125 0.701171875 0.125 0.05078125,1
10263,0.572265625 0.724609375 0.14453125 0.09765625,1
10265,0.91796875 0.82421875 0.1484375 0.1484375,1
10267,0.5546875 0.658203125 0.1640625 0.08984375,1
10269,0.509765625 0.1484375 0.10546875 0.203125;0.935546875 0.67578125 0.12109375 0.109375,2
10270,0.466796875 0.669921875 0.19140625 0.11328125,1
10271,0.57421875 0.2265625 0.1640625 0.1015625,1
10272,0.07421875 0.224609375 0.1484375 0.09765625,1
10274,0.421875 0.326171875 0.140625 0.12890625,1
10278,0.40625 0.1640625 0.15625 0.1171875;0.720703125 0.884765625 0.16796875 0.13671875,2
10279,0.220703125 0.890625 0.16015625 0.125;0.9375 0.16796875 0.1171875 0.109375,2
10280,0.466796875 0.169921875 0.17578125 0.11328125,1
10281,0.7578125 0.435546875 0.109375 0.36328125,1
10284,0.12109375 0.353515625 0.2421875 0.19921875,1
10285,0.76171875 0.064453125 0.09375 0.11328125,1
10289,0.701171875 0.703125 0.14453125 0.078125,1
10290,0.201171875 0.70703125 0.14453125 0.0859375;0.69921875 0.662109375 0.1171875 0.12890625;0.841796875 0.8671875 0.16015625 0.1875;0.943359375 0.328125 0.10546875 0.0703125,4
10291,0.203125 0.662109375 0.125 0.13671875;0.466796875 0.330078125 0.15234375 0.06640625;0.33984375 0.869140625 0.171875 0.18359375;0.583984375 0.837890625 0.19921875 0.15234375,4
10294,0.7890625 0.76171875 0.078125 0.1796875,1
10297,0.29296875 0.8828125 0.1640625 0.140625;0.33984375 0.375 0.171875 0.203125;0.587890625 0.337890625 0.19921875 0.15234375;0.826171875 0.91015625 0.14453125 0.125;0.201171875 0.16015625 0.11328125 0.140625,5
10300,0.66796875 0.88671875 0.1171875 0.078125,1
10302,0.287109375 0.2578125 0.07421875 0.1875,1
10303,0.49609375 0.49609375 0.1484375 0.15625;0.92578125 0.43359375 0.1328125 0.1328125;0.806640625 0.935546875 0.16015625 0.12109375,3
10305,0.291015625 0.376953125 0.16015625 0.14453125;0.673828125 0.59375 0.16015625 0.140625;0.53515625 0.8046875 0.109375 0.125;0.80078125 0.86328125 0.1328125 0.1328125;0.83203125 0.408203125 0.1484375 0.14453125,5
10306,0.298828125 0.86328125 0.12109375 0.140625;0.05078125 0.81640625 0.1015625 0.125;0.173828125 0.58984375 0.13671875 0.15625;0.333984375 0.408203125 0.14453125 0.14453125;0.5078125 0.1875 0.125 0.1484375,5
10309,0.671875 0.390625 0.1171875 0.0625,1
10311,0.1796875 0.17578125 0.34375 0.1015625;0.173828125 0.560546875 0.31640625 0.08984375,2
10313,0.310546875 0.4375 0.16015625 0.1328125;0.720703125 0.537109375 0.18359375 0.15234375;0.5546875 0.71875 0.15625 0.1328125;0.400390625 0.89453125 0.12890625 0.1484375,4
10315,0.294921875 0.3671875 0.10546875 0.140625;0.171875 0.087890625 0.1328125 0.16015625;0.068359375 0.30859375 0.13671875 0.140625,3
10316,0.814453125 0.359375 0.10546875 0.15625,1
10320,0.5546875 0.576171875 0.1328125 0.12109375,1
10321,0.056640625 0.576171875 0.11328125 0.12109375,1
10324,0.146484375 0.74609375 0.29296875 0.09375,1
10325,0.625 0.25 0.375 0.09375,1
10327,0.6953125 0.5390625 0.3359375 0.15625,1
10328,0.19140625 0.541015625 0.3203125 0.16015625,1
10329,0.7578125 0.505859375 0.2265625 0.07421875,1
10330,0.2578125 0.505859375 0.2265625 0.07421875,1
10332,0.1875 0.064453125 0.328125 0.12890625,1
10333,0.2578125 0.017578125 0.2265625 0.03515625,1
10335,0.42578125 0.744140625 0.109375 0.29296875,1
10338,0.580078125 0.125 0.09765625 0.0703125,1
10339,0.076171875 0.1328125 0.09765625 0.0703125,1
10343,0.2421875 0.478515625 0.078125 0.23828125,1
10346,0.46484375 0.833984375 0.0625 0.16796875,1
10348,0.455078125 0.3125 0.08203125 0.1953125,1
10349,0.861328125 0.822265625 0.17578125 0.14453125,1
10353,0.474609375 0.517578125 0.23828125 0.12890625,1
10356,0.90234375 0.72265625 0.0703125 0.15625,1
10360,0.74609375 0.53515625 0.1171875 0.3515625,1
10363,0.654296875 0.052734375 0.17578125 0.10546875,1
10364,0.15625 0.0546875 0.1875 0.109375,1
10366,0.0546875 0.95703125 0.109375 0.078125;0.619140625 0.654296875 0.19921875 0.15234375,2
10367,0.119140625 0.658203125 0.19921875 0.16796875,1
10371,0.73828125 0.09765625 0.1015625 0.1953125,1
10373,0.5234375 0.462890625 0.171875 0.10546875,1
10374,0.0625 0.4609375 0.125 0.09375;0.625 0.15234375 0.1953125 0.1484375,2
10375,0.119140625 0.16015625 0.19921875 0.1484375,1
10376,0.521484375 0.513671875 0.14453125 0.40234375,1
10377,0.052734375 0.5 0.10546875 0.40625,1
10378,0.75390625 0.794921875 0.140625 0.31640625,1
10379,0.251953125 0.80859375 0.14453125 0.34375,1
10381,0.75 0.3046875 0.1328125 0.3203125,1
10383,0.486328125 0.4375 0.14453125 0.15625,1
10384,0.8046875 0.771484375 0.109375 0.09765625;0.9609375 0.591796875 0.0625 0.07421875,2
10385,0.302734375 0.7734375 0.09765625 0.109375;0.46484375 0.59375 0.078125 0.0703125;0.6875 0.416015625 0.1015625 0.11328125;0.787109375 0.314453125 0.09765625 0.10546875,4
10386,0.19140625 0.416015625 0.1015625 0.13671875;0.287109375 0.318359375 0.08984375 0.09765625,2
10388,0.537109375 0.349609375 0.13671875 0.07421875,1
10389,0.056640625 0.359375 0.11328125 0.0703125,1
10390,0.154296875 0.576171875 0.15234375 0.06640625,1
10392,0.150390625 0.0703125 0.14453125 0.0703125,1
10393,0.2578125 0.140625 0.09375 0.140625;0.052734375 0.55078125 0.07421875 0.1171875;0.294921875 0.650390625 0.05078125 0.10546875;0.6953125 0.57421875 0.078125 0.1484375;0.783203125 0.31640625 0.05859375 0.109375;0.6953125 0.853515625 0.0390625 0.10546875,6
10394,0.19140625 0.572265625 0.09375 0.14453125;0.283203125 0.322265625 0.04296875 0.11328125,2
10395,0.548828125 0.0546875 0.05859375 0.109375;0.79296875 0.15625 0.046875 0.109375,2
10396,0.048828125 0.05859375 0.06640625 0.1015625;0.29296875 0.154296875 0.046875 0.11328125;0.693359375 0.076171875 0.08203125 0.14453125;0.6953125 0.349609375 0.046875 0.11328125,4
10398,0.080078125 0.435546875 0.13671875 0.19921875,1
10399,0.224609375 0.5078125 0.14453125 0.078125;0.783203125 0.55078125 0.12109375 0.0703125;0.703125 0.71875 0.1015625 0.0546875;0.865234375 0.779296875 0.10546875 0.05859375,4
10400,0.65625 0.361328125 0.109375 0.27734375,1
10401,0.15234375 0.37890625 0.1171875 0.2421875,1
10403,0.630859375 0.427734375 0.11328125 0.08984375;0.53125 0.119140625 0.0703125 0.12109375;0.72265625 0.08984375 0.0546875 0.09375;0.828125 0.388671875 0.0546875 0.11328125,4
10404,0.03515625 0.1171875 0.0703125 0.125;0.1328125 0.427734375 0.125 0.07421875;0.330078125 0.38671875 0.06640625 0.1171875;0.220703125 0.087890625 0.06640625 0.09765625,4
10405,0.923828125 0.697265625 0.12109375 0.05859375,1
10406,0.421875 0.69921875 0.1171875 0.0625,1
10409,0.6328125 0.197265625 0.1875 0.07421875,1
10412,0.701171875 0.6171875 0.17578125 0.0625,1
10419,0.93359375 0.37109375 0.109375 0.0625,1
10422,0.11328125 0.44140625 0.1328125 0.0546875;0.623046875 0.853515625 0.23046875 0.08984375;0.26171875 0.9375 0.2109375 0.1171875,3
10424,0.765625 0.501953125 0.25 0.09765625;0.7421875 0.166015625 0.1171875 0.09765625;0.8828125 0.0859375 0.1171875 0.1015625,3
10425,0.255859375 0.4375 0.21484375 0.1171875;0.62109375 0.35546875 0.234375 0.09375;0.794921875 0.505859375 0.13671875 0.07421875;0.50390625 0.642578125 0.109375 0.07421875;0.7421875 0.748046875 0.109375 0.06640625;0.4140625 0.875 0.1328125 0.0703125;0.046875 0.759765625 0.09375 0.08203125,7
10426,0.123046875 0.35546875 0.21484375 0.09375;0.494140625 0.345703125 0.18359375 0.08203125;0.29296875 0.505859375 0.109375 0.06640625;0.24609375 0.751953125 0.0859375 0.05859375,4
10427,0.44921875 0.5703125 0.109375 0.0859375,1
10428,0.92578125 0.376953125 0.1015625 0.05859375;0.927734375 0.533203125 0.11328125 0.08203125;0.69140625 0.671875 0.1015625 0.046875;0.822265625 0.79296875 0.08984375 0.0390625,4
10429,0.744140625 0.255859375 0.08203125 0.06640625;0.50390625 0.146484375 0.1015625 0.07421875;0.423828125 0.375 0.10546875 0.0703125;0.513671875 0.78125 0.08203125 0.0625;0.4375 0.53515625 0.125 0.078125;0.19140625 0.66796875 0.1015625 0.046875;0.322265625 0.791015625 0.08984375 0.05078125,7
10430,0.193359375 0.169921875 0.10546875 0.04296875;0.509765625 0.279296875 0.08984375 0.05078125;0.33203125 0.29296875 0.09375 0.046875,3
10432,0.294921875 0.84765625 0.30078125 0.09375,1
10435,0.642578125 0.45703125 0.16015625 0.15625,1
10436,0.599609375 0.4609375 0.12109375 0.125,1
10438,0.873046875 0.736328125 0.12890625 0.08203125,1
10439,0.642578125 0.873046875 0.11328125 0.05078125,1
10441,0.376953125 0.244140625 0.15234375 0.05078125;0.279296875 0.72265625 0.10546875 0.03125;0.416015625 0.951171875 0.12890625 0.05078125,3
10442,0.630859375 0.46484375 0.12890625 0.1953125,1
10443,0.12890625 0.4609375 0.1328125 0.1953125,1
10444,0.6875 0.658203125 0.109375 0.08984375,1
10447,0.28125 0.22265625 0.1171875 0.046875;0.41796875 0.453125 0.125 0.046875,2
10449,0.2578125 0.52734375 0.0625 0.1328125;0.73828125 0.6953125 0.109375 0.0625,2
10452,0.12890625 0.421875 0.078125 0.0859375,1
10458,0.341796875 0.443359375 0.08203125 0.15234375,1
10460,0.34375 0.783203125 0.09375 0.05078125,1
10461,0.83984375 0.439453125 0.078125 0.16796875,1
10462,0.84375 0.28125 0.09375 0.0625,1
10463,0.341796875 0.283203125 0.09765625 0.05859375,1
10467,0.337890625 0.0625 0.05078125 0.1015625,1
10470,0.701171875 0.283203125 0.23828125 0.08984375,1
10471,0.55859375 0.732421875 0.1796875 0.06640625,1
10473,0.556640625 0.234375 0.17578125 0.0703125,1
10474,0.501953125 0.53515625 0.14453125 0.0625,1
10475,0.689453125 0.66796875 0.14453125 0.0546875,1
